"","logFC","logCPM","PValue","FDR"
"Solyc09g089500.2.1",9.20270410761034,5.8590805273298,1.45992425293706e-67,1.01491279656452e-64
"Solyc02g089710.2.1",8.7560108704621,0.753997451976608,3.95738744897093e-22,2.90982132906545e-20
"Solyc03g013340.2.1",8.02690856053917,0.0665205727007497,9.07840801411996e-15,3.44814169291268e-13
"Solyc03g078580.2.1",7.99948031500902,0.0676104974609097,3.50316830603041e-09,6.30817771653404e-08
"Solyc02g078080.1.1",7.71910382674078,1.39812183000265,2.73086509479148e-22,2.05405823408562e-20
"Solyc03g098760.1.1",7.44385993484642,8.09992519796292,1.87250466664893e-82,3.57976079646609e-79
"Solyc11g065770.1.1",7.44301185062892,6.78567177867201,1.09149044734372e-42,2.94586851206028e-40
"Solyc08g066410.1.1",7.43080151394045,-0.468054768506554,1.53868005198417e-10,3.44715420630556e-09
"Solyc08g074990.1.1",7.2860011573445,-0.592154496381209,4.58897900119435e-11,1.10509669509849e-09
"Solyc04g007760.2.1",7.28148530952852,-0.603041811648039,5.09108671864224e-12,1.38382251673426e-10
"Solyc10g076190.1.1",7.19203419214441,-0.655955091832442,8.8722816445421e-09,1.47385237659262e-07
"Solyc09g089530.2.1",7.0985819192856,8.91097601622625,9.78447748570675e-51,3.56294758729522e-48
"Solyc09g089520.2.1",6.95667206831132,5.73834547598497,9.07345266193263e-46,2.77538770023195e-43
"Solyc04g007780.2.1",6.94567521801726,2.79592785499361,4.53223263879145e-33,6.8856919845374e-31
"Solyc01g008610.2.1",6.94213370784474,4.64439050466944,5.59973994967635e-30,7.5124932272237e-28
"Solyc06g062390.2.1",6.68717716384597,-1.08190486059182,5.9676804096035e-08,8.33259624325708e-07
"Solyc03g098720.2.1",6.6527515694438,9.74974101880141,3.31960199978901e-75,3.62642807034094e-72
"Solyc09g089510.2.1",6.60636915431228,10.3739051049195,1.67088988235036e-51,6.28391553950814e-49
"Solyc09g005400.2.1",6.58076056227591,-1.13271050965841,0.000100233262161796,0.00060495955465766
"Solyc05g005450.1.1",6.56506851983438,-1.18073112505418,5.46938165319713e-08,7.69773524576659e-07
"Solyc09g089490.2.1",6.55862767707195,-1.20230088170264,8.61150192737283e-07,9.27059904813985e-06
"Solyc01g097060.2.1",6.39432118531351,3.84714904375512,8.96779640810099e-48,2.98159735359775e-45
"Solyc04g007590.1.1",6.23717255634619,-1.42060707897602,1.13729777206161e-05,9.11724884038035e-05
"Solyc09g089540.2.1",6.17375036249895,4.6211562486586,2.84327073481633e-37,5.39070032458028e-35
"Solyc01g014910.1.1",6.11377199778275,-1.53988398145963,0.00138405783399765,0.00574067451993132
"Solyc10g076200.1.1",6.11053042115583,8.64224258548504,1.08591516969703e-63,5.53599553511548e-61
"Solyc03g098710.1.1",5.8912449973967,11.3941453018848,3.6243561315196e-64,1.93363613984165e-61
"Solyc06g017860.1.1",5.88029358486265,-1.65736581458892,1.86199389319489e-05,0.000141116623401996
"Solyc04g019320.1.1",5.87649602582014,-0.399340508394193,0.00127996262120332,0.00535929561802578
"Solyc11g065470.1.1",5.77817111079173,2.46602138784673,1.67245417652625e-20,1.04829976130297e-18
"Solyc02g078050.2.1",5.73219887336202,9.08974262080405,2.74597963078386e-38,5.77940538622134e-36
"Solyc04g014840.2.1",5.72302779388692,0.192803797316082,5.58048683999431e-09,9.69863246941739e-08
"Solyc02g087830.2.1",5.70628811423887,1.04210407155299,2.78963234522618e-16,1.20748972890252e-14
"Solyc12g015920.1.1",5.68424891895504,4.05343203011272,6.25155934011444e-43,1.72791593760922e-40
"Solyc03g111460.1.1",5.66212159934568,-1.80558707822485,0.000263592452790598,0.00138472050823657
"Solyc02g078100.2.1",5.57783422128349,9.32705015400355,1.4157444792871e-30,1.95654181321237e-28
"Solyc10g083750.1.1",5.52341193972109,1.16705300036381,9.03415758090643e-15,3.43702502592993e-13
"Solyc06g076330.2.1",5.48333768003138,3.15282163271707,3.08674350136949e-18,1.59848719333899e-16
"Solyc09g084460.2.1",5.43344040241502,5.03310098553229,1.62794084578645e-38,3.49033560216701e-36
"Solyc01g096720.2.1",5.41981078662621,1.84469445809539,2.73994527895386e-27,2.96495682285285e-25
"Solyc00g071180.2.1",5.38153189237918,7.29757457515509,1.52927940845734e-47,5.01188555848855e-45
"Solyc03g098700.1.1",5.37966867798085,3.21268816521531,3.95136910229897e-34,6.38368722365075e-32
"Solyc05g014830.1.1",5.36629723708121,-1.98061139651296,0.0015494556056809,0.00629914248625298
"Solyc01g081130.2.1",5.34063529958062,3.71566503630416,1.73843852199472e-43,4.92364421396061e-41
"Solyc05g050890.1.1",5.30146147024386,-0.189490238628234,4.79934639574578e-08,6.8386214698636e-07
"Solyc03g020080.2.1",5.28587596378479,3.30320273613918,1.02891634680584e-28,1.23583088544884e-26
"Solyc03g098790.1.1",5.25192174614586,11.7108294387492,4.93456633603735e-54,1.98603309324619e-51
"Solyc07g052620.1.1",5.23674933687562,7.35543335809322,1.15184695731212e-43,3.30306513096216e-41
"Solyc12g098200.1.1",5.23658791259756,3.6440170983501,2.34027305397931e-21,1.61711458226926e-19
"Solyc06g067910.2.1",5.22789062237058,7.54858422635693,9.07062923333962e-38,1.82534478282495e-35
"Solyc10g038170.1.1",5.17155443626461,1.28097635529034,3.24797267565669e-20,1.96600900137836e-18
"Solyc09g084490.2.1",5.13608211091618,9.67020376419154,1.24153265601209e-39,2.90632659811973e-37
"Solyc12g006430.1.1",5.03891075404955,1.75631888693535,1.88750637326311e-25,1.85048220978757e-23
"Solyc09g084440.2.1",4.96035815681728,8.94830670605266,4.55590524852708e-34,7.25812654905971e-32
"Solyc08g074650.2.1",4.89790130030635,-0.489686216117583,4.0003239266186e-10,8.3733057664742e-09
"Solyc01g108520.1.1",4.8613477779412,0.765446049821704,5.56518846377645e-19,3.0325650486341e-17
"Solyc06g082430.1.1",4.85277420374822,-0.524869748601422,4.52290148057658e-10,9.39474967207008e-09
"Solyc03g061620.1.1",4.8230285700355,-0.109335341067861,4.03619052303246e-13,1.29321573727497e-11
"Solyc07g041910.2.1",4.80830670204567,7.27680240398806,3.44489251822108e-42,9.08382520235745e-40
"Solyc07g041920.2.1",4.78343314971666,6.64892667767567,7.8438657116115e-30,1.04015100167676e-27
"Solyc09g083440.2.1",4.73559470771193,9.04153593730818,2.34734510123404e-33,3.63854351131149e-31
"Solyc10g006430.1.1",4.70708966216115,1.27768220646057,1.3088364201655e-13,4.46815718973463e-12
"Solyc04g074360.1.1",4.62332599485251,2.47174877255549,1.80329941369606e-24,1.6681246713549e-22
"Solyc05g014590.2.1",4.60919561850953,1.76654995421455,6.04040315381671e-21,4.02828164975899e-19
"Solyc02g081240.1.1",4.55049416926176,-1.40474576761853,0.000670182232765793,0.00310410874255604
"Solyc02g077420.2.1",4.54130859861176,2.47378202475533,1.1896266498812e-17,5.90719155301398e-16
"Solyc05g009590.2.1",4.53249031647345,1.40799189559159,1.61001758968121e-15,6.50271364874588e-14
"Solyc06g072990.1.1",4.51090718839139,1.34952502191951,5.18034593725023e-20,3.06294629243447e-18
"Solyc09g084470.2.1",4.49956561823192,9.75851824632475,1.96062711345418e-26,1.99905540487788e-24
"Solyc11g011570.1.1",4.4943359288709,0.122812047653724,2.33910733034232e-05,0.000171991863030075
"Solyc05g050870.2.1",4.48481422454428,0.20055939277053,1.39035101098748e-10,3.14246724562204e-09
"Solyc02g061770.2.1",4.45949073775888,6.68065859439376,6.55640599470647e-23,5.31485900793502e-21
"Solyc02g067760.2.1",4.44526439326501,7.4815786084973,1.33412491815544e-38,2.88737356107583e-36
"Solyc08g074950.1.1",4.38973362245484,-0.473633692251816,3.17534140340164e-10,6.7952898447236e-09
"Solyc03g120960.1.1",4.36801606326726,3.7240517453589,2.71133275040301e-25,2.61347414399141e-23
"Solyc08g036660.2.1",4.33984289903012,3.23506073301314,7.44317780530867e-23,5.92895632054119e-21
"Solyc09g084450.2.1",4.31970156429651,9.6999184606268,1.04613597943051e-27,1.17644144628017e-25
"Solyc08g080490.2.1",4.29683006400564,0.129812550704137,7.93531603602619e-07,8.62359475047261e-06
"Solyc03g033300.1.1",4.29142450970206,0.0413023757973925,1.96982664387533e-12,5.70578194913433e-11
"Solyc07g015870.2.1",4.2850391087228,5.88155150737327,3.71854495883442e-33,5.68714266004136e-31
"Solyc04g056720.1.1",4.25284256879604,-1.59339312522706,0.00128954831869844,0.00539254975925279
"Solyc02g080450.1.1",4.20628409019646,4.8593138857789,6.98145174872463e-30,9.31171421904021e-28
"Solyc02g067750.2.1",4.18915125209651,7.39301537215227,1.97577882260856e-37,3.80893629995486e-35
"Solyc09g073040.2.1",4.18603547845491,0.852686840447394,2.9663527700339e-14,1.05833746341132e-12
"Solyc04g026020.2.1",4.16872931246224,-0.348965070871922,5.15665120018183e-10,1.057182620048e-08
"Solyc07g021170.1.1",4.14211775386892,-1.64050807573587,0.00167947842779275,0.00675235096599956
"Solyc10g081970.1.1",4.14011199585304,0.293812770524781,1.43101459694013e-11,3.69279031140646e-10
"Solyc01g108860.2.1",4.1134333240267,4.75475180146523,9.25742824526481e-15,3.51032498139868e-13
"Solyc05g051480.2.1",4.11146732695605,1.20479238415909,1.57391365707055e-11,4.05243021401295e-10
"Solyc12g049250.1.1",4.1055501826471,1.8381188362027,3.59072996342506e-22,2.65725600293336e-20
"Solyc04g071190.1.1",4.08554502466033,-0.763535785072254,0.00023164824607869,0.00123923552754103
"Solyc02g072040.2.1",4.0364470841727,4.43126246560233,3.18648056386048e-19,1.78731175099079e-17
"Solyc09g084480.2.1",4.02938325230097,9.24003718471208,5.99643693189644e-25,5.66108064422371e-23
"Solyc09g082700.2.1",4.02601165918662,2.41562298839259,2.25548479021347e-15,9.01447327043332e-14
"Solyc03g031500.1.1",4.00953224676213,7.13453738744599,2.27992031163052e-21,1.58017075133281e-19
"Solyc08g068990.1.1",4.00837878968423,-0.795768772094127,3.20689567476522e-07,3.83173925389525e-06
"Solyc01g015250.1.1",3.98763526881888,-0.185196528340177,5.37991470578739e-05,0.000354962965963384
"Solyc10g047710.1.1",3.98254318466434,-1.75085357383172,0.00263507534494391,0.00981989335418424
"Solyc07g064600.2.1",3.91745143118321,9.14234221137369,2.02160000495461e-33,3.15493372201793e-31
"Solyc10g009150.2.1",3.89049722740921,1.85865031180755,1.68067650471725e-21,1.17909479188741e-19
"Solyc01g091170.2.1",3.8896313987246,6.83927799109187,5.30612883618805e-25,5.05095027514481e-23
"Solyc09g082690.2.1",3.88956225139026,5.53366458906998,6.577341915674e-24,5.80349234182605e-22
"Solyc00g145170.1.1",3.88012997116179,2.00649629173331,3.85616031776262e-19,2.15241298904604e-17
"Solyc10g075110.1.1",3.86488737091776,6.97343279958103,5.36178685754242e-33,8.09241791440005e-31
"Solyc08g005680.2.1",3.85847861569753,3.91064909369385,2.52889305101476e-25,2.45827692725973e-23
"Solyc02g087970.1.1",3.85254053654003,6.09809278891426,1.07905950387272e-32,1.60744831677559e-30
"Solyc07g007250.2.1",3.81737431460946,12.5581485947268,5.65025557788411e-27,5.89193241873816e-25
"Solyc01g108700.2.1",3.79595800779775,-0.432725509603586,9.3934040518638e-05,0.000573122559451615
"Solyc08g061040.1.1",3.79584651668796,-1.34028392125722,2.15002565141997e-05,0.00016009003073426
"Solyc03g098780.1.1",3.77764587962543,11.5297378448066,3.34173235693678e-32,4.85206848104346e-30
"Solyc05g005440.1.1",3.77642105870846,-1.37452486453544,0.000223713353301565,0.00120502654099347
"Solyc10g008120.2.1",3.76775608894321,5.33891231712993,1.92874067971444e-14,7.04573884288678e-13
